Unnamed: 0,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Working Capital Days,78.0,63.0,35.0,42.0,43.0,39.0,38.0
ROCE %,,5.0,9.0,132.0,144.0,73.0,53.0
