Unnamed: 0,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,43261,34374,38134,49550,71459,42346,94877,26958,110654,115032,158788,178703
Cash from Investing Activity +,-73070,-64706,-36186,-66201,-68192,-94507,-72497,-142385,-109162,-93001,-113581,-137535
Cash from Financing Activity +,13713,8444,-3210,8617,-2001,55906,-2541,101904,17289,10455,-16646,-31891
Net Cash Flow,-16096,-21888,-1262,-8034,1266,3745,19839,-13523,18781,32486,28561,9277
