Unnamed: 0,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Promoters +,28.01,23.3,23.3,23.3,22.4,22.4,22.4,22.39,22.3,22.29,22.43,22.44
FIIs +,3.93,2.61,1.16,1.68,2.16,2.91,2.9,3.02,3.5,4.8,4.67,4.68
DIIs +,22.52,22.19,20.93,18.68,18.38,17.01,14.04,12.64,8.01,5.89,5.66,5.93
Public +,45.55,51.89,54.61,56.35,57.05,57.68,60.66,61.95,66.19,67.01,67.22,66.96
No. of Shareholders,95459.0,95707.0,94321.0,94136.0,94848.0,94235.0,96276.0,103356.0,108301.0,110197.0,108734.0,104927.0
